N,w_over_h,error
55,0.5,0.04878181546915412
55,1.0,0.03781472511147902
55,2.0,0.03691247255847359
110,0.5,0.037231504945815924
110,1.0,0.023039651273398323
110,2.0,0.018651569234377892
220,0.5,0.03136047594536583
220,1.0,0.015474642373033696
220,2.0,0.00916357204467816
550,0.5,0.027811222049676537
550,1.0,0.010881903897305827
550,2.0,0.0033524607892898716
1100,0.5,0.02662405933099574
1100,1.0,0.009342316023715394
1100,2.0,0.0013954110455229687
